symbol,state,sweep,mss,fvg,retrace,ltf
ADAUSDT,IDLE,False,False,True,False,False
APTUSDT,IDLE,False,False,True,False,False
ARBUSDT,EXPIRED,False,False,True,False,False
AVAXUSDT,EXPIRED,False,False,False,False,False
BNBUSDT,IDLE,False,False,True,False,False
BTCUSDT,IDLE,False,False,True,False,False
DOGEUSDT,IDLE,False,False,True,False,False
DOTUSDT,IDLE,False,False,True,False,False
ETHUSDT,EXPIRED,False,False,False,False,False
FETUSDT,EXPIRED,False,False,False,False,False
INJUSDT,IDLE,False,False,False,False,False
LDOUSDT,EXPIRED,False,False,False,False,False
LINKUSDT,IDLE,False,False,True,False,False
NEARUSDT,IDLE,False,False,True,False,False
OPUSDT,IDLE,False,False,True,False,False
SOLUSDT,EXPIRED,False,False,False,False,False
STXUSDT,IDLE,False,False,True,False,False
SUIUSDT,IDLE,False,False,True,False,False
UNIUSDT,WAIT_POI_CONFIRM,True,True,True,False,False
XRPUSDT,EXPIRED,False,False,False,False,False
